responseId,startTime,endTime,testType,activityPoints,dfs,dfsRaw,dfsRaw01,dfsRaw02,dfsRaw03,dfsRaw04,dfsRaw05,dfsRaw06,dfsRaw07,dfsRaw08,dfsRaw09,dejectionRawPre2,FR01,FR04,FR03,FR10,FR02,FR06,prevention.pre,promotion.pre,dejectionRawPost,tense,nervous,anxious,depressed,uncertain,agitated,calm,self_conscious,quiet,unconcerned,disappointed ,frustrated,sad,contented,enthusiastic,happy,balanced,dejection,cheerfulness,promotion.pos,agitation,quiescence,prevention.pos,fss,flow,flow01,flow02,flow03,flow04,flow05,flow06,flow07,flow08,Condition,gender,age,ethnicity,sexualOrientation,civilState,city,universityEducation,institucion,educationLevel,conclusion
c5628d20-c7cf-11eb-9261-891d55fc2af9,1623095914841,1623097598250,stMale,170,3.666666667,"4,3,5,4,4,3,3,2,5",4,3,5,4,4,3,3,2,5,"3, 5, 4, 4, 5, 4",3,5,4,4,5,4,1.33,3.67,"5,1,1,1,6,1,6,6,7,6,2,2,1,3,3,2,3",5,1,1,1,6,1,6,6,7,6,2,2,1,3,3,2,3,1.666666667,2.75,3.46,2.50,6.25,2.13,3.75,"4,3,3,5,4,3,3,5",4,3,3,5,4,3,3,5,inThreat,Feminino,24,Pardo,Homossexual,Solteiro(a),Jaru,Sim,UPAP,Graduação,10
cc9a1970-dba5-11eb-916d-ef9a5fc9a834,1625278319917,1625278970072,stFemale,160,3.666666667,"4,4,4,3,2,4,2,5,5",4,4,4,3,2,4,2,5,5,"4, 5, 4, 3, 4, 4",4,5,4,3,4,4,1.67,3.67,"6,6,6,4,6,5,3,6,3,5,4,5,5,4,6,5,7",6,6,6,4,6,5,3,6,3,5,4,5,5,4,6,5,7,4.666666667,5.5,3.58,5.50,4.25,4.63,4,"5,3,5,4,4,4,4,3",5,3,5,4,4,4,4,3,inBoost,Feminino,21,Prefiro não Responder,Bissexual,Solteiro(a),Maceió,Sim,UFAL,Graduação,2022
fc1e63c0-dbac-11eb-916d-ef9a5fc9a834,1625280266099,1625281729259,default,150,2.555555556,"3,2,4,2,2,1,2,4,3",3,2,4,2,2,1,2,4,3,"3, 4, 3, 3, 5, 4",3,4,3,3,5,4,1.67,3.00,"1,1,3,1,5,1,5,7,6,6,6,6,2,2,3,2,6",1,1,3,1,5,1,5,7,6,6,6,6,2,2,3,2,6,4.666666667,3.25,4.71,2.00,6.00,2.00,3.625,"4,4,4,1,5,5,4,2",4,4,4,1,5,5,4,2,control,Feminino,19,Negro,Heterossexual,Solteiro(a),Paripueira,Sim,UFAL,Graduação,2025
b7ecef30-dbf9-11eb-916d-ef9a5fc9a834,1625314435990,1625314990128,default,170,3.333333333,"3,3,4,4,3,4,3,2,4",3,3,4,4,3,4,3,2,4,"4, 3, 4, 3, 2, 2",4,3,4,3,2,2,3.67,3.67,"1,1,1,1,2,1,7,7,7,7,1,1,1,4,4,4,7",1,1,1,1,2,1,7,7,7,7,1,1,1,4,4,4,7,1,4.75,2.13,1.17,7.00,1.08,3.75,"4,5,5,1,3,3,4,5",4,5,5,1,3,3,4,5,control,Feminino,20,Pardo,Heterossexual,Solteiro(a),Salvador,Sim,UFAL,Graduação,2023
4ca8d3a0-dc27-11eb-916d-ef9a5fc9a834,1625334003218,1625334563305,default,160,3.222222222,"4,2,4,3,1,3,4,5,3",4,2,4,3,1,3,4,5,3,"3, 2, 4, 2, 5, 3",3,2,4,2,5,3,2.67,3.00,"1,1,2,2,3,1,4,5,3,6,2,1,1,3,4,2,4",1,1,2,2,3,1,4,5,3,6,2,1,1,3,4,2,4,1.333333333,3.25,3.04,1.67,4.50,2.58,3.875,"4,5,3,5,5,5,2,2",4,5,3,5,5,5,2,2,control,Masculino,21,Negro,Heterossexual,Solteiro(a),Coruripe,Sim,Instituto da Computação,Graduação,2025
8b51aea0-df61-11eb-bf23-972ef7bdc96c,1625689115410,1625689435899,stMale,100,3.111111111,"3,4,4,3,3,3,4,1,3",3,4,4,3,3,3,4,1,3,"4, 5, 3, 3, 5, 4",4,5,3,3,5,4,1.33,3.33,"3,1,1,1,4,2,6,6,7,5,2,3,1,4,5,4,7",3,1,1,1,4,2,6,6,7,5,2,3,1,4,5,4,7,2,5,2.50,2.00,6.00,2.00,3.75,"4,5,4,1,4,4,3,5",4,5,4,1,4,4,3,5,inBoost,Masculino,20,Pardo,Heterossexual,Solteiro(a),Maceió,Sim,UFAL,Graduação,2024
c2104500-df61-11eb-bf23-972ef7bdc96c,1625689144337,1625689576895,default,120,3.666666667,"3,2,5,3,4,3,5,4,4",3,2,5,3,4,3,5,4,4,"3, 5, 3, 4, 5, 3",3,5,3,4,5,3,1.67,3.33,"2,2,3,2,5,1,4,4,3,2,3,2,,4,3,4,4",2,2,3,2,5,1,4,4,3,2,3,2,,4,3,4,4,2.5,3.75,3.38,2.50,3.25,3.63,3.25,"4,5,3,2,4,3,3,2",4,5,3,2,4,3,3,2,control,Masculino,18,Pardo,Heterossexual,Solteiro(a),Rio Largo,Sim,UFAL,Graduação,2023
d7a07110-df61-11eb-bf23-972ef7bdc96c,1625689130492,1625689607343,stFemale,200,3.888888889,"4,2,4,5,3,3,5,5,4",4,2,4,5,3,3,5,5,4,"2, 3, 2, 2, 5, 3",2,3,2,2,5,3,2.33,2.00,"1,1,1,1,3,5,2,7,3,7,1,1,1,1,1,1,4",1,1,1,1,3,5,2,7,3,7,1,1,1,1,1,1,4,1,1.75,3.63,2.00,4.75,2.63,3.25,"5,5,5,1,1,3,1,5",5,5,5,1,1,3,1,5,inThreat,Masculino,21,Branco,Heterossexual,Solteiro(a),Maceió,Sim,UFAL,Graduação,2025
eacce390-df61-11eb-bf23-972ef7bdc96c,1625689128108,1625689604033,default,160,3.666666667,"3,1,5,4,5,3,5,2,5",3,1,5,4,5,3,5,2,5,"3, 3, 3, 5, 5, 4",3,3,3,5,5,4,2.00,3.67,"2,2,4,2,5,4,6,6,5,5,2,1,1,7,6,6,7",2,2,4,2,5,4,6,6,5,5,2,1,1,7,6,6,7,1.333333333,6.5,1.42,3.17,5.50,2.83,4.125,"4,5,5,1,4,4,5,5",4,5,5,1,4,4,5,5,control,Masculino,18,Pardo,Heterossexual,Solteiro(a),Maceio,Sim,UFAL,Graduação,2026
f343a310-df61-11eb-bf23-972ef7bdc96c,1625689142358,1625689645454,stMale,160,3.222222222,"5,2,3,2,4,2,1,5,5",5,2,3,2,4,2,1,5,5,"3, 1, 4, 4, 5, 3",3,1,4,4,5,3,3.00,3.67,"2,4,2,1,2,4,6,6,5,6,1,1,1,6,4,4,4",2,4,2,1,2,4,6,6,5,6,1,1,1,6,4,4,4,1,4.5,2.25,2.50,5.75,2.38,3.75,"5,1,5,1,5,5,3,5",5,1,5,1,5,5,3,5,inBoost,Masculino,21,Pardo,Heterossexual,Solteiro(a),MACEIÓ,Sim,ufal,Graduação,2025
